"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"140","NM_182948","NM_007174","HGNC:9381","HGNC:1985","0.202","0.276","0.492","0.084","0.053","0.115","0.236","0.452","0.691",1
"141","NM_145049","NM_021132","HGNC:28110","HGNC:9315","1","0.437","0.593","0.385","0.082","0.177","1","0.559","0.793",1
"142","NM_001967","NM_176869","HGNC:3284","HGNC:28883","0.428","0.333","0.574","0.232","0.091","0.305","0.42","0.453","0.655",1
"143","NM_181690","NM_006255","HGNC:393","HGNC:9403","0.529","0","0.442","0.218","0","0.039","0.444","0","0.538",1
"144","NM_022819","NM_213600","HGNC:30040","HGNC:27396","0.965","1","0","0.585","0.175","0","0.894","1","0",1
"145","NM_001114633","NM_001128203","HGNC:9036","HGNC:17825","0.652","0.528","0.481","0.349","0.106","0.28","0.655","0.727","0.579",1
"146","NM_006247","NM_139283","HGNC:9322","HGNC:30695","0","0","0","0","0","0","0","0","0",1
"147","NM_002103","NM_021957","HGNC:4706","HGNC:4707","1","0.449","0.701","0.542","0.092","0.473","1","0.662","0.796",1
"148","NM_020223","NM_001042600","HGNC:22140","HGNC:6863","0.545","0","0.782","0.163","0","0.208","0.594","0.305","0.76",1
"149","NM_012449","NM_018234","HGNC:11378","HGNC:24592","0","0.218","0","0","0.054","0","0","0.216","0.181",1
"150","NM_002641","NM_153747","HGNC:8957","HGNC:8960","0.847","0.897","0.494","0.486","0.432","0.134","0.815","0.843","0.527",1
