G:HGNC:33781,P:Q6ZNF0
G:HGNC:125,P:P15309
G:HGNC:126,P:P10323
G:HGNC:17195,P:Q8NEB7
G:HGNC:127,P:P26436
G:HGNC:29567,P:Q96GR2
G:HGNC:24174,P:Q5FVE4
G:HGNC:26101,P:Q96CM8
G:HGNC:27288,P:Q4G176
G:HGNC:3569,P:P33121
G:HGNC:3570,P:O95573
G:HGNC:3571,P:O60488
G:HGNC:16526,P:Q9ULC5
G:HGNC:16496,P:Q9UKU0
G:HGNC:18049,P:Q08AH1
G:HGNC:32017,P:Q08AH3
G:HGNC:30931,P:Q68CK6
G:HGNC:10522,P:Q53FZ2
G:HGNC:32016,P:P0C7M7
G:HGNC:26060,P:Q6NUN0
G:HGNC:31665,P:Q6P461
G:HGNC:16091,P:Q9NUB1
G:HGNC:15814,P:Q9NR19
G:HGNC:24723,P:Q9H6R3
G:HGNC:129,P:P68133
G:HGNC:130,P:P62736
G:HGNC:132,P:P60709
G:HGNC:17780,P:Q562R1
G:HGNC:143,P:P68032
G:HGNC:144,P:P63261
G:HGNC:145,P:P63267
G:HGNC:24124,P:O96019
G:HGNC:160,P:O94805
G:HGNC:161,P:Q9Y615
G:HGNC:162,P:Q9Y614
G:HGNC:24018,P:Q9H568
G:HGNC:28494,P:Q8TC94
G:HGNC:16127,P:Q5JWF8
G:HGNC:163,P:P12814
G:HGNC:164,P:P35609
G:HGNC:165,P:Q08043
G:HGNC:166,P:O43707
G:HGNC:167,P:P61163
G:HGNC:168,P:P42025
G:HGNC:169,P:P61160
G:HGNC:170,P:P61158
G:HGNC:17256,P:Q9P1U1
G:HGNC:37282,P:Q9C0K3
G:HGNC:14671,P:Q9H9F9
G:HGNC:24025,P:Q9GZN1
G:HGNC:14672,P:Q9H981
G:HGNC:17372,P:Q9NZ32
G:HGNC:24027,P:Q8TDG2
G:HGNC:24026,P:Q8TDY3
G:HGNC:24022,P:Q9BYD9
G:HGNC:171,P:Q04771
G:HGNC:172,P:P36896
G:HGNC:18123,P:Q8NER5
G:HGNC:173,P:P27037
G:HGNC:174,P:Q13705
G:HGNC:175,P:P37023
G:HGNC:177,P:Q03154
G:HGNC:24104,P:Q96HD9
G:HGNC:179,P:P07311
G:HGNC:180,P:P14621
G:HGNC:186,P:P00813
G:HGNC:1839,P:Q9NZK5
G:HGNC:30713,P:Q96M93
G:HGNC:30714,P:Q8NCV1
G:HGNC:31853,P:Q6DHV7
G:HGNC:198,P:Q99965
G:HGNC:212,P:Q6NVV9
G:HGNC:214,P:Q9H2U9
G:HGNC:215,P:P78325
G:HGNC:216,P:Q13443
G:HGNC:188,P:O14672
G:HGNC:189,P:O75078
G:HGNC:190,P:O43184
G:HGNC:193,P:Q13444
G:HGNC:195,P:P78536
G:HGNC:196,P:Q9Y3Q7
G:HGNC:197,P:Q9H013
G:HGNC:199,P:O43506
G:HGNC:200,P:Q9UKJ8
G:HGNC:201,P:Q9P0K1
G:HGNC:202,P:O75077
G:HGNC:206,P:Q9UKQ2
G:HGNC:207,P:Q9UKF5
G:HGNC:208,P:Q9UKF2
G:HGNC:15479,P:Q8TC27
G:HGNC:15478,P:Q9BZ11
G:HGNC:16299,P:O15204
G:HGNC:217,P:Q9UHI8
G:HGNC:218,P:O95450
G:HGNC:219,P:O15072
G:HGNC:220,P:O75173
G:HGNC:221,P:Q9UNA0
G:HGNC:222,P:Q9UKP5
G:HGNC:223,P:Q9UKP4
G:HGNC:224,P:Q9UP79
G:HGNC:13202,P:Q9P2N4
G:HGNC:13201,P:Q9H324
G:HGNC:14605,P:P58397
G:HGNC:1366,P:Q76LX8
G:HGNC:14899,P:Q8WXS8
G:HGNC:16305,P:Q8TE58
G:HGNC:17108,P:Q8TE57
G:HGNC:17109,P:Q8TE56
G:HGNC:17110,P:Q8TE60
G:HGNC:17111,P:Q8TE59
G:HGNC:17178,P:P59510
G:HGNC:14632,P:Q8N6G6
G:HGNC:14631,P:Q86TH1
G:HGNC:14633,P:P82987
G:HGNC:19706,P:Q6UY14
G:HGNC:32041,P:Q5T5F5
G:HGNC:27912,P:Q6ZMM2
G:HGNC:16486,P:O75689
G:HGNC:16487,P:Q9NPF8
G:HGNC:225,P:P55265
G:HGNC:226,P:P78563
G:HGNC:227,P:Q9NS39
G:HGNC:23299,P:A8MUL3
G:HGNC:228,P:Q9BUB4
G:HGNC:21172,P:Q7Z6V5
G:HGNC:25151,P:Q96EY9
G:HGNC:19038,P:Q86TW2
G:HGNC:19039,P:Q7Z695
G:HGNC:21738,P:Q3MIX3
G:HGNC:232,P:Q08828
G:HGNC:233,P:Q08462
G:HGNC:234,P:O60266
G:HGNC:235,P:Q8NFM4
G:HGNC:236,P:O95622
G:HGNC:237,P:O43306
G:HGNC:238,P:P51828
G:HGNC:239,P:P40145
G:HGNC:240,P:O60503
G:HGNC:21285,P:Q96PN6
G:HGNC:241,P:P18509
G:HGNC:242,P:P41586
G:HGNC:243,P:P35611
G:HGNC:244,P:P35612
G:HGNC:245,P:Q9UEY8
G:HGNC:21212,P:Q8N7X0
G:HGNC:13838,P:Q86SQ6
G:HGNC:17849,P:Q96PE1
G:HGNC:13839,P:Q8IWK6
G:HGNC:943,P:O14514
G:HGNC:944,P:O60241
G:HGNC:945,P:O60242
G:HGNC:19893,P:Q6QNK2
G:HGNC:18651,P:Q7Z7M1
G:HGNC:3336,P:Q14246
G:HGNC:3337,P:Q9UHX3
G:HGNC:23647,P:Q9BY15
G:HGNC:19240,P:Q86SQ3
G:HGNC:1711,P:P48960
G:HGNC:18990,P:Q5T601
G:HGNC:18991,P:Q8IZF7
G:HGNC:18989,P:Q8IZF5
G:HGNC:19011,P:Q8IZF3
G:HGNC:19030,P:Q8IZF2
G:HGNC:4512,P:Q9Y653
G:HGNC:4516,P:Q8IZP9
G:HGNC:13728,P:Q86Y34
G:HGNC:18992,P:Q8IZF6
G:HGNC:19010,P:Q8IZF4
G:HGNC:13841,P:Q86SQ4
G:HGNC:19241,P:Q96K78
G:HGNC:20973,P:O94910
G:HGNC:18582,P:O95490
G:HGNC:20974,P:Q9HAR2
G:HGNC:20822,P:Q9HBW9
G:HGNC:17416,P:Q8WXG9
G:HGNC:249,P:P07327
G:HGNC:250,P:P00325
G:HGNC:251,P:P00326
G:HGNC:252,P:P08319
G:HGNC:253,P:P11766
G:HGNC:255,P:P28332
G:HGNC:256,P:P40394
G:HGNC:16354,P:Q8IWW8
G:HGNC:30576,P:Q9BV57
G:HGNC:28606,P:Q0VDE8
G:HGNC:13633,P:Q15848
G:HGNC:24040,P:Q96A54
G:HGNC:24041,P:Q86V24
G:HGNC:24043,P:Q15847
G:HGNC:257,P:P55263
G:HGNC:259,P:P35318
G:HGNC:28898,P:Q7Z4H4
G:HGNC:27293,P:C9JUS6
G:HGNC:15766,P:Q9H2P0
G:HGNC:23803,P:Q6IQ32
G:HGNC:23506,P:Q96SZ5
G:HGNC:262,P:P30542
G:HGNC:263,P:P29274
G:HGNC:37122,P:P86434
G:HGNC:264,P:P29275
G:HGNC:268,P:P0DMS8
G:HGNC:25250,P:Q9BRR6
G:HGNC:269,P:P54922
G:HGNC:21303,P:Q8NDY3
G:HGNC:21304,P:Q9NX46
G:HGNC:30925,P:Q3LIE5
G:HGNC:277,P:P35348
G:HGNC:278,P:P35368
G:HGNC:280,P:P25100
G:HGNC:281,P:P08913
G:HGNC:282,P:P18089
G:HGNC:283,P:P18825
G:HGNC:285,P:P08588
G:HGNC:286,P:P07550
G:HGNC:288,P:P13945
G:HGNC:15759,P:Q16186
G:HGNC:291,P:P30566
G:HGNC:20093,P:Q8N142
G:HGNC:292,P:P30520
G:HGNC:21214,P:Q96IZ2
G:HGNC:303,P:Q8IUX7
G:HGNC:24051,P:Q6ZN18
G:HGNC:25722,P:Q8WTP8
G:HGNC:24017,P:Q8N556
G:HGNC:26714,P:Q8TED9
G:HGNC:25901,P:Q8N4X5
G:HGNC:7137,P:P55196
G:HGNC:21236,P:Q9Y6Z5
G:HGNC:7135,P:P51825
G:HGNC:3776,P:P51816
G:HGNC:6473,P:P51826
G:HGNC:17869,P:Q9UHB7
G:HGNC:16411,P:Q8WV93
G:HGNC:315,P:Q9Y4W6
G:HGNC:316,P:P43652
G:HGNC:20910,P:Q63HM1
G:HGNC:317,P:P02771
G:HGNC:25951,P:Q6ULP2
G:HGNC:318,P:P20933
G:HGNC:16922,P:Q9UPQ3
G:HGNC:16921,P:Q99490
G:HGNC:16923,P:Q96P47
G:HGNC:23459,P:Q96P64
G:HGNC:23467,P:A6NIR3
G:HGNC:23466,P:Q5VW22
G:HGNC:23465,P:Q5VUJ5
G:HGNC:23463,P:Q5VTM2
G:HGNC:29421,P:Q8TF27
G:HGNC:26504,P:Q96MI9
G:HGNC:26296,P:Q5U5Z8
G:HGNC:27981,P:Q8NEM8
G:HGNC:25892,P:Q5VU57
G:HGNC:26147,P:Q8NDL9
G:HGNC:320,P:Q15109
G:HGNC:5175,P:P52594
G:HGNC:5177,P:O95081
G:HGNC:24684,P:Q8N302
G:HGNC:21869,P:Q53H12
G:HGNC:321,P:P35573
G:HGNC:18407,P:Q9BSE5
G:HGNC:33784,P:Q6ZNB7
G:HGNC:3262,P:Q9UL18
G:HGNC:3263,P:Q9UKV8
G:HGNC:18421,P:Q9H9G7
G:HGNC:18424,P:Q9HCK5
G:HGNC:324,P:Q99943
G:HGNC:325,P:O15120
G:HGNC:326,P:Q9NRZ7
G:HGNC:20885,P:Q9NRZ5
G:HGNC:20988,P:Q9H0P7
G:HGNC:20886,P:Q9NUQ2
G:HGNC:327,P:O00116
G:HGNC:328,P:O95994
G:HGNC:24167,P:Q8TD06
G:HGNC:329,P:O00468
G:HGNC:330,P:O00253
G:HGNC:333,P:P01019
G:HGNC:17258,P:Q9UPW5
G:HGNC:336,P:P30556
G:HGNC:338,P:P50052
G:HGNC:13539,P:Q6RW13
G:HGNC:341,P:P21549
G:HGNC:14412,P:Q9BYV1
G:HGNC:24618,P:Q8WYP5
G:HGNC:343,P:P23526
G:HGNC:344,P:O43865
G:HGNC:22204,P:Q96HN2
G:HGNC:25230,P:Q5TGY3
G:HGNC:21575,P:Q8N157
G:HGNC:347,P:Q09666
G:HGNC:20125,P:Q8IVF2
G:HGNC:348,P:P35869
G:HGNC:346,P:A9YTQ3
G:HGNC:1189,P:O95433
G:HGNC:20437,P:Q719I0
G:HGNC:349,P:P02765
G:HGNC:18075,P:Q9NZD4
G:HGNC:13203,P:Q9GZX7
G:HGNC:25761,P:Q96BJ3
G:HGNC:352,P:P55008
G:HGNC:28904,P:Q9BQI0
G:HGNC:8768,P:O95831
G:HGNC:21411,P:Q9BRQ8
G:HGNC:26398,P:Q96NN9
G:HGNC:21607,P:Q9NVV5
G:HGNC:357,P:O14862
G:HGNC:10648,P:Q12904
G:HGNC:20609,P:Q13155
G:HGNC:358,P:O00170
G:HGNC:359,P:Q9NZN9
G:HGNC:360,P:O43918
G:HGNC:30801,P:Q9UKB5
G:HGNC:37284,P:C9J069
G:HGNC:20250,P:Q96IF1
G:HGNC:361,P:P00568
G:HGNC:362,P:P54819
G:HGNC:17376,P:Q9UIJ7
G:HGNC:363,P:P27144
G:HGNC:365,P:Q9Y6K8
G:HGNC:49151,P:Q9Y3D8
G:HGNC:20091,P:Q96M32
G:HGNC:26526,P:Q96MA6
G:HGNC:33814,P:Q5TCS8
G:HGNC:28285,P:P0CW23
G:HGNC:367,P:Q92667
G:HGNC:372,P:Q9Y2D5
G:HGNC:373,P:O75969
G:HGNC:374,P:Q5JQC9
G:HGNC:375,P:P24588
G:HGNC:376,P:Q13023
G:HGNC:377,"P:O43687, Q9P0M2"
G:HGNC:378,P:O43823
G:HGNC:29857,P:Q9ULX6
G:HGNC:379,P:Q99996
G:HGNC:368,P:O43572
G:HGNC:369,P:Q9UKA4
G:HGNC:370,P:Q02952
G:HGNC:371,P:Q12802
G:HGNC:24061,P:Q86UN6
G:HGNC:18783,P:Q02040
G:HGNC:1170,P:Q9NQ31
G:HGNC:25744,P:Q9H9L7
G:HGNC:21407,P:Q53H80
G:HGNC:24108,P:Q7Z591
G:HGNC:28398,P:Q5T1N1
G:HGNC:380,P:P14550
G:HGNC:381,P:P15121
G:HGNC:382,P:O60218
G:HGNC:37281,P:C9JRZ8
G:HGNC:384,P:Q04828
G:HGNC:385,P:P52895
G:HGNC:386,P:P42330
G:HGNC:387,P:P17516
G:HGNC:23469,P:Q5T2L2
G:HGNC:388,P:P51857
G:HGNC:23437,P:Q96JD6
G:HGNC:389,P:O43488
G:HGNC:390,P:O95154
G:HGNC:24056,P:Q8NHP1
G:HGNC:391,P:P31749
G:HGNC:28426,P:Q96B36
G:HGNC:392,P:P31751
G:HGNC:393,P:Q9Y243
G:HGNC:16710,P:Q9H8T0
G:HGNC:395,P:P13716
G:HGNC:396,P:P13196
G:HGNC:397,P:P22557
G:HGNC:399,P:P02768
G:HGNC:400,P:Q13740
G:HGNC:402,P:P00352
G:HGNC:15472,P:O94788
G:HGNC:409,P:P47895
G:HGNC:407,P:P30837
G:HGNC:3978,P:O75891
G:HGNC:26777,P:Q3SY69
G:HGNC:404,P:P05091
G:HGNC:405,P:P30838
G:HGNC:403,P:P51648
G:HGNC:410,P:P43353
G:HGNC:411,P:P48448
G:HGNC:406,P:P30038
G:HGNC:408,P:P51649
G:HGNC:7179,P:Q02252
G:HGNC:877,P:P49419
G:HGNC:15471,P:Q9H2A2
G:HGNC:412,P:P49189
G:HGNC:28114,P:Q8IZ83
G:HGNC:9722,P:P54886
G:HGNC:414,P:P04075
G:HGNC:417,P:P05062
G:HGNC:418,P:P09972
G:HGNC:18294,P:Q9BT22
G:HGNC:33721,P:Q6GMV1
G:HGNC:37258,P:C9J202
G:HGNC:23159,P:Q9H553
G:HGNC:23056,P:Q92685
