HGNC ID,RefSeq IDs,Enzyme IDs
HGNC:80,NM_001091,1.4.3.22
HGNC:549,"NM_009590, NM_001158",1.4.3.21
HGNC:550,NM_003734,1.4.3.21
HGNC:587,NM_001641,4.2.99.18
HGNC:17581,NM_015957,4.2.1.109
HGNC:626,NM_000485,2.4.2.7
HGNC:713,NM_000487,3.1.6.8
HGNC:714,NM_000046,3.1.6.1
HGNC:32521,NM_001012301,3.1.6.-
HGNC:25239,NM_198150,3.1.6.-
HGNC:726,NM_021071,2.4.2.31
HGNC:17452,NM_020682,2.1.1.137
HGNC:735,NM_004315,3.5.1.23
HGNC:746,NM_000048,4.3.2.1
HGNC:750,NM_004043,2.1.1.4
HGNC:753,"NM_001673, NM_183356",6.3.5.4
HGNC:756,NM_000049,3.5.1.15
HGNC:20123,NM_001080464,"3.1.1.5, 3.5.1.1"
HGNC:757,NM_004318,1.14.11.16
HGNC:16448,NM_001083926,3.5.1.1
HGNC:758,NM_000050,6.3.4.5
HGNC:21186,NM_024909,2.3.1.108
HGNC:782,NM_001001976,2.3.2.8
HGNC:794,NM_004044,"2.1.2.3, 3.5.4.10"
HGNC:799,NM_001160233,3.6.3.9
HGNC:800,NM_000702,3.6.3.9
HGNC:801,NM_152296,3.6.3.9
HGNC:805,NM_001678,3.6.3.9
HGNC:811,NM_004320,3.6.3.8
HGNC:812,NM_001681,3.6.3.8
HGNC:813,NM_174953,3.6.3.8
HGNC:814,NM_001682,3.6.3.8
HGNC:815,NM_001683,3.6.3.8
HGNC:816,NM_021949,3.6.3.8
HGNC:817,NM_001001396,3.6.3.8
HGNC:13211,NM_001001486,3.6.3.8
HGNC:29103,NM_014861,3.6.3.8
HGNC:819,NM_000704,3.6.3.10
HGNC:820,NM_000705,3.6.3.10
HGNC:823,NM_004046,3.6.1.14
HGNC:830,NM_001686,3.6.3.14
HGNC:850,NM_001697,3.6.3.14
HGNC:851,NM_001690,3.6.3.14
HGNC:853,NM_001692,3.6.3.14
HGNC:854,NM_001693,3.6.3.14
HGNC:856,NM_001695,3.6.3.14
HGNC:857,NM_001696,3.6.3.14
HGNC:16832,NM_004231,3.6.3.14
HGNC:855,NM_001694,3.6.3.14
HGNC:869,NM_000052,3.6.3.4
HGNC:870,NM_000053,3.6.3.4
HGNC:13533,NM_016529,3.6.3.1
HGNC:3706,NM_005603,3.6.3.1
HGNC:13534,NM_020452,3.6.3.1
HGNC:13535,NM_138813,3.6.3.1
HGNC:13536,NM_024837,3.6.3.1
HGNC:13540,NM_006045,3.6.3.1
HGNC:13552,NM_015205,3.6.3.1
HGNC:13816,NM_001676,3.6.3.10
HGNC:886,NM_000489,3.6.4.12
HGNC:918,NM_033167,2.4.1.79
HGNC:921,NM_018644,2.4.1.135
HGNC:922,NM_080742,2.4.1.135
HGNC:923,NM_012200,2.4.1.135
HGNC:15629,NM_006577,2.4.1.149
HGNC:15684,NM_032047,2.4.1.206
HGNC:4117,NM_001478,2.4.1.92
HGNC:24136,NM_153446,2.4.1.-
HGNC:24137,NM_173593,2.4.1.-
HGNC:26315,NM_178537,"2.4.1.244, 2.4.1.92"
HGNC:924,NM_001497,"2.4.1.133, 2.4.1.38"
HGNC:925,NM_003780,2.4.1.38
HGNC:927,NM_003778,2.4.1.275
HGNC:928,NM_004776,"2.4.1.38, 2.4.1.90"
HGNC:930,NM_007255,2.4.1.133
HGNC:15685,NM_006876,2.4.1.-
HGNC:932,NM_001701,2.3.1.65
HGNC:964,NM_003986,1.14.11.1
HGNC:976,NM_005504,2.6.1.42
HGNC:13815,NM_017429,1.13.11.63
HGNC:18503,NM_001037290,1.13.11.71
HGNC:1027,NM_004051,1.1.1.30
HGNC:32389,NM_020139,1.1.1.30
HGNC:1047,NM_001713,2.1.1.5
HGNC:1048,NM_017614,2.1.1.5
HGNC:1059,NM_000386,3.4.22.40
HGNC:1062,NM_000712,1.3.1.24
HGNC:1063,NM_000713,"1.3.1.24, 1.5.1.30"
HGNC:1067,NM_006132,3.4.24.19
HGNC:1093,NM_001724,"5.4.2.4, 3.1.3.13"
HGNC:1096,NM_006085,3.1.3.7
HGNC:1118,NM_004334,3.2.2.5
HGNC:1122,NM_000060,3.5.1.12
HGNC:1133,NM_000061,2.7.10.1
HGNC:24337,NM_020156,2.4.1.122
HGNC:1246,NM_001733,3.4.21.41
HGNC:1247,NM_001734,3.4.21.42
HGNC:1318,NM_000064,3.4.21.43
HGNC:1368,NM_001738,4.2.1.1
HGNC:1373,NM_000067,4.2.1.1
HGNC:1374,NM_005181,4.2.1.1
HGNC:1375,NM_000717,4.2.1.1
HGNC:1377,NM_001739,4.2.1.1
HGNC:1459,NM_003656,2.7.11.17
HGNC:19341,NM_020397,2.7.11.17
HGNC:14585,NM_020439,2.7.11.17
HGNC:1460,NM_015981,2.7.11.17
HGNC:1461,NM_172084,2.7.11.17
HGNC:1463,NM_172169,2.7.11.17
HGNC:1464,NM_001744,2.7.11.17
HGNC:1469,"NM_032294, NM_172206, NM_172207",2.7.11.17
HGNC:1470,NM_172226,2.7.11.17
HGNC:26276,NM_024766,2.1.1.60
HGNC:1479,NM_001748,3.4.22.52
HGNC:1493,NM_001751,6.1.1.16
HGNC:25695,NM_024537,6.1.1.16
HGNC:1499,NM_033292,3.4.22.36
HGNC:1503,NM_032982,3.4.22.55
HGNC:1504,NM_004346,3.4.22.56
HGNC:1505,NM_001225,3.4.22.57
HGNC:1506,NM_004347,3.4.22.58
HGNC:1507,NM_001226,3.4.22.59
HGNC:1508,NM_033338,3.4.22.60
HGNC:1509,NM_001228,3.4.22.61
HGNC:1511,NM_032996,3.4.22.62
HGNC:1500,NM_032977,3.4.22.63
HGNC:1502,NM_012114,3.4.22.-
HGNC:1516,NM_001752,1.11.1.6
HGNC:25891,NM_032783,1.1.1.-
HGNC:1550,NM_000071,4.2.1.22
HGNC:1667,NM_001775,3.2.2.5
HGNC:1712,NM_001785,3.5.4.5
HGNC:1769,NM_006319,2.7.8.11
HGNC:15483,NM_001113575,2.7.11.22
HGNC:1795,NM_001801,1.13.11.20
HGNC:1809,NM_170723,2.3.1.48
HGNC:24609,NM_033440,3.4.21.71
HGNC:15945,NM_007352,3.4.21.70
